Identification Number,Speed(Kmph),Vechile Type,Number Plate
4,10,car,AS9527XZ
5,21,truck,ALOEIEPNTD
6,38,car,
7,99,car,BLROSOULJ
8,11,car,
9,46,car,4CDIGYXG
10,9,truck,VFM360
11,81,car,
12,26,car,7SK8382
13,33,car,
14,21,car,
15,41,car,KELS7ZYY
16,25,car,WHG75LEP
3,52,car,EYBISXPR
24,6,car,
29,9,car,
30,29,car,AGDIEYXGL
32,32,car,
34,88,car,TLAO7NGAI
36,28,car,PGYIANAO
39,51,car,
43,37,car,BGPI9XD0F
47,33,car,PKTISX4
52,44,car,LLDI2OFUJ
54,31,truck,LPKOTRXV
55,17,bus,EYBISXPR
57,21,car,
58,16,car,
59,11,car,GPI3X00J
61,16,car,5666NUPI
35,19,truck,LHG5DITV
71,24,truck,S666NJPJF
73,12,car,
75,40,car,AGYG4V2CY64V
76,28,car,
77,108,car,
79,16,car,1PJ66HEW
82,41,car,FPKO7RXVY
84,4,car,
86,29,car,INAEEKKPL
89,10,truck,LOIGUFPJ
90,69,truck,
91,21,bus,1LMG64LMF
102,10,truck,
113,26,car,PGVIIEXPJ
116,29,truck,
119,43,car,
120,56,car,TTCR64KOA
125,9,truck,JLM64LHF
128,32,car,
117,28,car,OFTEPNIEPN
127,15,car,
133,21,car,G
134,25,car,
137,26,truck,PFCESVJAF
139,18,car,117333JEL
146,15,car,
135,18,car,
149,31,truck,817333JEL
151,15,car,
153,32,car,
155,23,car,
159,15,truck,
162,23,truck,GFG7KVIS
166,51,truck,GEO7KVT
167,19,car,
168,94,bus,GFE7ZKVT
169,80,truck,YHIGHWAYMAINTER
171,22,car,
173,30,car,A500
178,26,car,
182,21,truck,
